x,y,z,qw,qx,qy,qz
0.37147747,-0.32831591,0.24592661,0.50583367,-0.49871394,0.49533021,0.50006468
0.37147618,-0.32831027,0.24592832,0.50583634,-0.49870989,0.49532748,0.50006873
0.37147489,-0.32830452,0.24593004,0.50583901,-0.49870584,0.49532474,0.50007278
0.3714736,-0.32829866,0.24593176,0.50584168,-0.49870178,0.495322,0.50007684
0.37147231,-0.3282927,0.24593349,0.50584436,-0.4986977,0.49531925,0.50008091
0.37147103,-0.32828662,0.24593522,0.50584704,-0.49869362,0.4953165,0.500085
0.37146975,-0.32828043,0.24593695,0.50584973,-0.49868953,0.49531375,0.50008909
0.37146847,-0.32827413,0.24593869,0.50585242,-0.49868543,0.49531098,0.50009319
0.3714672,-0.32826771,0.24594042,0.50585512,-0.49868132,0.49530822,0.5000973
0.37146592,-0.32826119,0.24594217,0.50585782,-0.4986772,0.49530545,0.50010142
0.37146465,-0.32825455,0.24594391,0.50586052,-0.49867307,0.49530267,0.50010555
0.37146339,-0.32824779,0.24594566,0.50586323,-0.49866893,0.49529989,0.50010969
0.37146213,-0.32824092,0.24594741,0.50586594,-0.49866478,0.4952971,0.50011385
0.37146087,-0.32823394,0.24594916,0.50586866,-0.49866063,0.49529431,0.500118
0.37145961,-0.32822684,0.24595092,0.50587138,-0.49865646,0.49529152,0.50012217
0.37145836,-0.32821962,0.24595268,0.5058741,-0.49865229,0.49528872,0.50012635
0.37145711,-0.32821229,0.24595444,0.50587683,-0.49864811,0.49528591,0.50013054
0.37145587,-0.32820484,0.24595621,0.50587957,-0.49864391,0.49528311,0.50013474
0.37145463,-0.32819727,0.24595797,0.5058823,-0.49863971,0.49528029,0.50013895
0.37145339,-0.32818958,0.24595975,0.50588504,-0.4986355,0.49527747,0.50014316
0.37145216,-0.32818177,0.24596152,0.50588779,-0.49863128,0.49527465,0.50014739
0.37145093,-0.32817385,0.2459633,0.50589054,-0.49862706,0.49527182,0.50015162
0.37144971,-0.3281658,0.24596508,0.50589329,-0.49862282,0.49526899,0.50015587
0.37144849,-0.32815763,0.24596686,0.50589604,-0.49861858,0.49526615,0.50016012
0.37144728,-0.32814934,0.24596865,0.5058988,-0.49861432,0.49526331,0.50016438
0.37144607,-0.32814093,0.24597043,0.50590157,-0.49861006,0.49526047,0.50016866
0.37144487,-0.32813239,0.24597223,0.50590433,-0.49860579,0.49525762,0.50017294
0.37144367,-0.32812373,0.24597402,0.5059071,-0.49860151,0.49525476,0.50017723
0.37144248,-0.32811495,0.24597582,0.50590988,-0.49859722,0.4952519,0.50018153
0.37144129,-0.32810604,0.24597762,0.50591266,-0.49859292,0.49524904,0.50018584
0.37144011,-0.32809701,0.24597942,0.50591544,-0.49858861,0.49524617,0.50019016
0.37143894,-0.32808785,0.24598122,0.50591822,-0.4985843,0.4952433,0.50019448
0.37143777,-0.32807856,0.24598303,0.50592101,-0.49857998,0.49524043,0.50019882
0.3714366,-0.32806915,0.24598484,0.5059238,-0.49857564,0.49523755,0.50020316
0.37143544,-0.32805961,0.24598665,0.5059266,-0.4985713,0.49523466,0.50020752
0.37143429,-0.32804994,0.24598847,0.5059294,-0.49856695,0.49523178,0.50021188
0.37143314,-0.32804015,0.24599029,0.5059322,-0.4985626,0.49522888,0.50021625
0.371432,-0.32803022,0.24599211,0.505935,-0.49855823,0.49522599,0.50022064
0.37143087,-0.32802017,0.24599393,0.50593781,-0.49855386,0.49522309,0.50022503
0.37142974,-0.32800998,0.24599575,0.50594062,-0.49854947,0.49522018,0.50022942
0.37142862,-0.32799967,0.24599758,0.50594344,-0.49854508,0.49521727,0.50023383
0.37142751,-0.32798922,0.24599941,0.50594626,-0.49854068,0.49521436,0.50023825
0.3714264,-0.32797864,0.24600124,0.50594908,-0.49853628,0.49521144,0.50024267
0.3714253,-0.32796793,0.24600308,0.50595191,-0.49853186,0.49520852,0.50024711
0.37142421,-0.32795709,0.24600492,0.50595473,-0.49852744,0.4952056,0.50025155
0.37142312,-0.32794611,0.24600676,0.50595757,-0.49852301,0.49520267,0.500256
0.37142205,-0.327935,0.2460086,0.5059604,-0.49851856,0.49519974,0.50026046
0.37142098,-0.32792375,0.24601044,0.50596324,-0.49851412,0.4951968,0.50026493
